Experimento;Grupo;Valor
Brilho 20 graus;D2;60,6
Brilho 20 graus;D2;60,5
Brilho 20 graus;D2;60,8
Brilho 20 graus;D2;62,0
Brilho 20 graus;D2;61,1
Brilho 20 graus;D3;55,3
Brilho 20 graus;D3;51,8
Brilho 20 graus;D3;51,5
Brilho 20 graus;D3;53,5
Brilho 20 graus;D3;54,3
Brilho 20 graus;D4;69,2
Brilho 20 graus;D4;70,1
Brilho 20 graus;D4;71,8
Brilho 20 graus;D4;67,5
Brilho 20 graus;D4;63,8
Brilho 20 graus;D5;69,6
Brilho 20 graus;D5;75,8
Brilho 20 graus;D5;65,7
Brilho 20 graus;D5;71,9
Brilho 20 graus;D5;72,9
Brilho 60 graus;D2;94,7
Brilho 60 graus;D2;95,0
Brilho 60 graus;D2;95,0
Brilho 60 graus;D2;95,5
Brilho 60 graus;D2;95,0
Brilho 60 graus;D3;82,6
Brilho 60 graus;D3;82,6
Brilho 60 graus;D3;82,5
Brilho 60 graus;D3;83,2
Brilho 60 graus;D3;82,6
Brilho 60 graus;D4;96,2
Brilho 60 graus;D4;97,1
Brilho 60 graus;D4;95,5
Brilho 60 graus;D4;96,0
Brilho 60 graus;D4;94,3
Brilho 60 graus;D5;96,3
Brilho 60 graus;D5;96,9
Brilho 60 graus;D5;98,0
Brilho 60 graus;D5;98,8
Brilho 60 graus;D5;97,5
Brilho 85 graus;D2;92,6
Brilho 85 graus;D2;92,5
Brilho 85 graus;D2;93,6
Brilho 85 graus;D2;93,4
Brilho 85 graus;D2;92,6
Brilho 85 graus;D3;77,3
Brilho 85 graus;D3;79,0
Brilho 85 graus;D3;78,5
Brilho 85 graus;D3;79,3
Brilho 85 graus;D3;78,2
Brilho 85 graus;D4;93,3
Brilho 85 graus;D4;87,5
Brilho 85 graus;D4;92,4
Brilho 85 graus;D4;88,7
Brilho 85 graus;D4;87,1
Brilho 85 graus;D5;88,9
Brilho 85 graus;D5;91,7
Brilho 85 graus;D5;96,1
Brilho 85 graus;D5;94,4
Brilho 85 graus;D5;94,0
